Measure Number,SCF ID,Description,Relevant Regulation(s),Response,Control Coverage,,,,,,,,,,,,,,,,,,,
M6.05,"IAC-10.8, IAC-10.6, IAC-15.7",Default and hardcoded accounts shall be disabled.,"8(2)(d),(e); 8(4); 8(5)(b),(c)","VCF/TCP does not use generic, ""well-known"" default passwords. While some service accounts are required for functionality, their passwords are set at deployment to either an administrator-specified or a randomly-generated strong value. These passwords can then be centrally managed, rotated, and remediated using the VCF Operations console's unified password management feature. This allows administrators to enforce password policies and set unique, strong credentials for each individual ESX host and management component, eliminating shared or default credentials.",Meets,,,,,,,,,,,,,,,,,,,
Signalling Plane 2,,, , , ,,,,,,,,,,,,,,,,,,,
M7.01,"NET-04.1, NET-03","Any incoming or outgoing message type that should not be sent over international or external signalling networks shall be blocked at the logical edge of the provider's network. For example, GSMA CAT 1 messages shall be blocked for SS7 networks, and equivalent messages shall be blocked for other signalling protocols such as Diameter, GTP, Interconnect and SS7/SIGTRAN.",3(3)(e); 3(3)(f)(i); 4(4)(b); 6(1); 6(3)(d); 8(3); 8(6),"VMware vDefend provides the Layer 7 inspection capabilities required to block specific message types at the network edge. Using its application-aware security policies and Distributed Deep Packet Inspection (DPI) engine, providers can create rules that identify and block specific protocols or message signatures (like GSMA CAT 1) that should not traverse an external interconnect, while permitting legitimate traffic.",Contributes,,,,,,,,,,,,,,,,,,,
M7.02,"NET-03.3, DCH-18.1","When sent over signalling networks, the external exposure of customer data, customer identifiers and network topology information shall be minimised.","4(1)(a),(b); 4(2)(a),(b); 4(4)(a); 4(4); 6(1); 8(1); 8(2)(f); 8(5)(a)","VCF/TCP helps providers minimize this exposure through network isolation. By using a multi-tiered network architecture with vDefend, providers can create demilitarized zones (DMZs) where publicly accessible services are segregated from the internal network. This ensures that sensitive customer data and network topology information, which reside in the secured internal zones, are never directly exposed to the external signalling network.",Contributes,,,,,,,,,,,,,,,,,,,
M7.03,"NET-04.12, NET-09",Providers shall have in place the means for recipients of their BGP routing updates to validate that the BGP routing update originated from the legitimate owner.,3(3)(e); 4(2)b; 4(4)(b); 6(1); 6(2)(a); 8(1),"VCF/TCP, through its NSX component, provides VCF/TCP's BGP routing capabilities. NSX Edge Nodes act as BGP routers that peer with external networks. To help validate incoming BGP routing updates, providers can configure BGP route filtering on these NSX Edge Nodes. This allows for the creation of rules that can accept or deny prefixes based on specific criteria, which is a foundational component of validating route origins.",Contributes,,,,,,,,,,,,,,,,,,,
M7.04,"NET-04.12, NET-09","Where the necessary information is available, providers shall validate that any BGP route updates they receive have originated from the legitimate owner.","3(3)(e); 4(1)(a),(b); 4(2)(a),(b); 4(4)(b); 6(1); 6(2)(a); 8(1)","VCF/TCP provides a robust, scalable, and resilient environment on which provider can deploy the necessary components to secure its BGP operations. NSX Edge Nodes can be configured as highly available BGP routers that peer with Providers' upstream providers and other networks. These are the components that would originate Providers' BGP updates.
In VCF Operations for networks you can see various information on BGP neighbors. You can view the BGP neighbors of an NSX edge or a logical router.",Contributes,,,,,,,,,,,,,,,,,,,
Third Party Supplier Measures 2,,, , , ,,,,,,,,,,,,,,,,,,,
M8.01,"TDA-09, TPM-04.1","During procurement of equipment, prior to contract award, providers shall ensure the security functionality of all equipment has been tested.","3(3)(a),(b),(d),(e); 3(5); 7(1); 7(4)(a)(i); 10(1); 10(2)(a),(b); 10(4); 13(2)(d)(i),(ii); 14(1)","Broadcom conducts regular and systematic threat assessment and security testing of its products. As new features are designed and developed, they undergo security design reviews and threat modeling based on their security sensitivity and are tested for vulnerabilities. Major updates are subject to annual penetration testing, while incremental features are reviewed and tested for security as part of the continuous Secure Development Lifecycle (SDL). This testing involves both manual techniques and automated scanners to identify various weaknesses (e.g., OWASP Top 10 and SANS Top 25), as well as specialized fuzzing techniques for applicable modules (like API, network and http interfaces). While most Broadcom security testing is conducted using in house security engineering resources, at times Broadcom may choose to engage a third-party vendor to perform additional testing. This engagement is performed using internal VMware security resources.",Contributes,,,,,,,,,,,,,,,,,,,
M8.02,"TDA-09.4, TDA-09","During procurement of equipment, prior to contract award, providers shall ensure negative testing and fuzzing of equipment interfaces has been performed.","3(3)(a),(b),(d),(e); 3(5); 7(1); 7(4)(a)(i); 13(2)(d)(i),(ii); 14(1); 14(2)","Broadcom conducts regular and systematic threat assessment and security testing of its products. As new features are designed and developed, they undergo security design reviews and threat modeling based on their security sensitivity and are tested for vulnerabilities. Major updates are subject to annual penetration testing, while incremental features are reviewed and tested for security as part of the continuous Secure Development Lifecycle (SDL). This testing involves both manual techniques and automated scanners to identify various weaknesses (e.g., OWASP Top 10 and SANS Top 25), as well as specialized fuzzing techniques for applicable modules (like API, network and http interfaces). While most Broadcom security testing is conducted using in house security engineering resources, at times Broadcom may choose to engage a third-party vendor to perform additional testing. This engagement is performed using internal VMware security resources.",Contributes,,,,,,,,,,,,,,,,,,,
M8.03,"IAO-02.1, CPL-03.1","Any third party testing in relation to the security of the network equipment shall only be accepted as evidence by the provider if it is repeatable, performed independently of the network equipment supplier and is clearly applicable to the provider's deployment (e.g. relates to the hardware, software and configuration that is being supplied).","3(3)(a),(b),(d),(e); 3(4); 3(5); 7(1); 7(4)(a)(i); 12; 13(2)(d)(i),(ii); 14(1); 14(2); 14(3)","Broadcom conducts regular and systematic threat assessment and security testing of its products. As new features are designed and developed, they undergo security design reviews and threat modeling based on their security sensitivity and are tested for vulnerabilities. Major updates are subject to annual penetration testing, while incremental features are reviewed and tested for security as part of the continuous Secure Development Lifecycle (SDL). This testing involves both manual techniques and automated scanners to identify various weaknesses (e.g., OWASP Top 10 and SANS Top 25), as well as specialized fuzzing techniques for applicable modules (like API, network and http interfaces). While most Broadcom security testing is conducted using in house security engineering resources, at times Broadcom may choose to engage a third-party vendor to perform additional testing. This engagement is performed using internal VMware security resources.",Contributes,,,,,,,,,,,,,,,,,,,
M8.04,"TPM-04.1, TDA-09","Providers shall ensure that security considerations are a significant factor in determining the procurement outcome for security critical functions, considering available evidence from testing, recognising the benefit of any security features that will provide measurable improvement to the security of the network.",3(3)(e); 7(1); 7(4)(a)(i),Organizational implementation; outside platform scope.,Not Applicable,,,,,,,,,,,,,,,,,,,
M8.05,"AST-01, TDA-17, SEA-02.3","Providers shall record all equipment deployed in their networks, and proactively assess, at least once a year, their exposure should the third party supplier be unable to continue to support that equipment.","3(1)(a),(b),(c); 7(1); 7(5); 11(b)(i),(iii),(v),(vii); 13(2)(d)(i),(ii)",Organizational implementation; outside platform scope.,Not Applicable,,,,,,,,,,,,,,,,,,,
M8.06,"IAC-10.8, CFG-03.1","Providers shall remove or change default passwords and accounts for all devices in the network, and should disable unencrypted management protocols. Where unencrypted management protocols cannot be disabled, providers shall limit and mitigate the use of these protocols as far as possible.",3(3)(e); 4(5); 8(2)(d); 13(2)(d),"VCF/TCP does not use generic, ""well-known"" default passwords. The requirement to change passwords upon initialization is enforced as a mandatory step in the deployment process. When you deploy VCF/TCP or its components, you must either specify a strong, unique password for each component account or have the system auto-generate a complex, random password. No default credentials are left on the device after this initial setup. After deployment, these passwords can be centrally managed, rotated, and remediated via the VCF Operations console. Password policies, such as complexity, history, and timeouts, are enforced by VCF SSO or can be federated to an external identity provider.

The default configuration of VMware products disables insecure management protocols, makes use of secure APIs and communication channels instead of Telnet, and employs HTTP over TLS (HTTPS). Some components respond to HTTP (80/tcp) in order to redirect the client to HTTPS (443/tcp), and that port can be blocked externally if  desired.",Meets,,,,,,,,,,,,,,,,,,,
